claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
Says President Donald Trump spawned the “Wuhan super virus outbreak under code name ‘zyphr.’”,2020-02-24T00:00:00Z,YouTube video,https://www.politifact.com/factchecks/2020/mar/03/youtube-videos/no-trump-did-not-create-coronavirus/,"No, Trump did not create the coronavirus",politifact.com,PolitiFact,en,Pants on Fire,Pants on Fire
"Video shows dead bodies left on the streets of Wuhan, China after the Coronavirus outbreak.",2020-02-28T14:25:27Z,Social Media users,https://www.boomlive.in/world/were-dead-bodies-left-on-wuhan-streets-after-the-coronavirus-outbreak-7057,Were Dead Bodies Left On Wuhan Streets After The Coronavirus Outbreak? | BOOM,boomlive.in,,en,False,False
"A book published in 1981 said that in 2020 a severe pneumonia-like illness would spread across the world, and calling it “Wuhan-400”.",2020-02-27T00:00:00Z,,https://fullfact.org/online/book-didnt-predict-coronavirus/,These quotes “predicting” coronavirus are from two different books - Full Fact,fullfact.org,Full Fact,en,"These lines are from two different books: one is from a book of predictions by a psychic published in 2008 that predicted a pneumonia-like illness, and “Wuhan-400” is a fictional disease from a sci-fi book published in 1981 that bears little similarity to the new Wuhan coronavirus.","These lines are from two different books: one is from a book of predictions by a psychic published in 2008 that predicted a pneumonia-like illness, and “Wuhan-400” is a fictional disease from a sci-fi book published in 1981 that bears little similarity to the new Wuhan coronavirus."
"High levels of sulfur dioxide in Wuhan “may be a sign of mass cremations of victims of the coronavirus.""",2020-02-16T00:00:00Z,Facebook posts,https://www.politifact.com/factchecks/2020/feb/26/facebook-posts/china-air-quality-projections-used-promote-coronav/,China air quality projections used to promote coronavirus cremation hoax,politifact.com,PolitiFact,en,Pants on Fire,Pants on Fire
“Breaking: UK Prepares For Full Lockdown After Hundreds Of New Cases — Wuhan Super Virus Updates.”,2020-02-11T00:00:00Z,Facebook posts,https://www.politifact.com/factchecks/2020/feb/25/facebook-posts/no-evidence-united-kingdom-preparing-lockdown-over/,No evidence that United Kingdom is preparing for lockdown over coronavirus,politifact.com,PolitiFact,en,False,False
Map tracing movements of Wuhan residents forecasts spread of Coronavirus.,2020-02-23T14:50:03Z,International newspapers and Twitter users,https://www.boomlive.in/world/map-of-global-flight-paths-falsely-reported-as-spread-of-coronavirus-6975,Map Of Global Flight Paths Falsely Reported As Spread Of Coronavirus | BOOM,boomlive.in,,en,False,False
"Several crows fly into Wuhan city, China following the rise in infected and death tolls caused by the novel Coronavirus outbreak.",2020-02-19T10:00:10Z,Social Media posts,https://www.boomlive.in/world/did-several-crows-fly-to-wuhan-after-the-coronavirus-outbreak-6932,Did Several Crows Fly To Wuhan After The Coronavirus Outbreak? | BOOM,boomlive.in,Boom Live,en,Misleading,Misleading
"Map predicting global spread of novel coronavirus, based on movements of residents from Wuhan, China",2020-02-12T00:00:00Z,Multiple sources,https://factcheck.afp.com/map-shows-flight-paths-worldwide-it-does-not-show-movement-wuhan-residents,This map shows flight paths worldwide -- it does not show the movement of Wuhan residents,factcheck.afp.com,AFP Fact Check,en,MISLEADING,MISLEADING
"According to the future the World Economic Forum has planned, we won't need animal charities because we'll cease to have pets and eat meat.",2022-07-18T00:00:00Z,Facebook account,https://fullfact.org/online/WEF-animal-charities/,The World Economic Forum has not planned for a future without pets or animal charities - Full Fact,fullfact.org,Full Fact,en,"We couldn’t find any examples of the WEF advocating an end to pets or animal charities, although it is true that the WEF supports eating less meat.","We couldn’t find any examples of the WEF advocating an end to pets or animal charities, although it is true that the WEF supports eating less meat."
Raj Thackery’s wife was bitten by their pet dog recently.,2022-05-13T00:00:00Z,Social Media,https://newsmobile.in/articles/2022/05/11/fact-check-2015-incident-of-raj-thackerays-wife-being-attacked-by-dog-viral-as-recent-happening/,Fact Check: 2015 Incident Of Raj Thackeray’s Wife Being Attacked By Dog Viral As Recent Happening,newsmobile.in,Newsmobile,en,Misleading,Misleading
"""McDonalds ice cream has xylitol sugar in it. Don’t feed any of their ice cream to your pets.""",2022-04-11T00:00:00Z,Facebook posts,https://www.factcheck.org/2022/04/mcdonalds-ice-cream-isnt-toxic-for-dogs-contrary-to-viral-posts/,"McDonald's Ice Cream Isn't Toxic for Dogs, Contrary to Viral Posts",factcheck.org,FactCheck.org,en,False,False
Auburn Is Passing A New Law Requiring Pants On Domestic Pets,2022-04-11T23:44:00Z,i.imgur.com,https://leadstories.com/hoax-alert/2022/04/fact-check-auburn-new-york-is-not-passing-a-new-law-requiring-pants-on-domestic-pets-its-april-fools.html,"Fact Check: Auburn, NY, Is NOT Imposing New Law Requiring Pants ...",leadstories.com,Lead Stories,en,April Fool's,April Fool's
"A new law in Auburn, New York, will require pet owners to put pants on their pets.",2022-04-01T08:15:57Z,,https://www.snopes.com/fact-check/pets-pants-in-auburn-new-york/,"Are Pets Required to Wear Pants in Auburn, NY?",snopes.com,Snopes.com,en,False,False
An image shared on Facebook allegedly shows an elderly man attempting to evacuate Ukraine with his pet cat.,2022-03-10T00:00:00Z,Viral Image,http://checkyourfact.com/2022/03/11/fact-check-elderly-man-evacuation-ukraine-photo/,FACT CHECK: Does This Picture Show An Elderly Man Evacuating Ukraine With His Cat In March 2022?,checkyourfact.com,Check Your Fact,en,False,False
Ottawa threatened to euthanize truckers pets as punishment,2022-02-25T19:04:50Z,thecountersignal.com,https://leadstories.com/hoax-alert/2022/02/fact-check-ottawa-will-not-euthanize-truckers-pets-as-punishment-for-convoy-protest.html,Fact Check: Ottawa Will NOT Euthanize Truckers' Pets As Punishment For Convoy Protest,leadstories.com,Lead Stories,en,Won't Kill,Won't Kill
Ottawa will euthanize pets of arrested truckers,2022-02-17T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.323V29U,Pets of jailed Ottawa protesters are not facing euthanasia,factcheck.afp.com,AFP Fact Check,en,False,False
"A boy petted an unknown sea creature before realizing what it was and it ""shocked everyone.""",2022-01-07T10:56:00Z,,https://www.snopes.com/fact-check/boy-pets-creature/,'Boy Pets Creature' Ad Misleads. Here's the Original Video,snopes.com,Snopes,en,Mixture,Mixture
Article Eight of the Human Rights Act sets out a right to private and family life and therefore is allowing asylum seekers to argue that because they have a cat or dog their deportation should be halted.,2021-12-07T00:00:00Z,Scott Benton,https://fullfact.org/immigration/scott-benton-cat-asylum-human-rights-act/,,fullfact.org,Full Fact,en,We could find no evidence that this has ever been successfully put forward as a reason for an asylum seeker to be granted the right to remain in the UK. A similar claim made in 2011 by Theresa May was widely debunked at the time.,We could find no evidence that this has ever been successfully put forward as a reason for an asylum seeker to be granted the right to remain in the UK. A similar claim made in 2011 by Theresa May was widely debunked at the time.
Asian lady beetles are toxic and can cause chemical burns in pets,2021-11-09T00:00:00Z,Social media user,https://www.usatoday.com/story/news/factcheck/2021/11/12/fact-check-asian-lady-beetles-toxic-pets-large-amounts/6374572001/,"Fact check: Experts say Asian lady beetles can harm pets, but only in large amounts",usatoday.com,USA Today,en,Missing Context,Missing Context
The spotted lanternfly is toxic to pets,2021-09-17T00:00:00Z,Social media users,https://www.usatoday.com/story/news/factcheck/2021/09/26/fact-check-claim-lanternflies-toxic-pets-missing-context/5812607001/,Fact check: Claim that lanternflies are toxic to pets is missing context,usatoday.com,USA Today,en,Missing Context,Missing Context
"In September 2021, the U.K. government announced its intention to create a new criminal offense of pet abduction.",2021-09-03T12:16:03Z,,https://www.snopes.com/fact-check/uk-pet-theft-abduction-law/,Did UK Government Announce Plans to Criminalize Pet Abduction?,snopes.com,Snopes.com,en,True,True
"""Rocky"" film star Sylvester Stallone kept the turtles from his 1976 film as pets.",2021-08-23T14:21:13Z,,https://www.snopes.com/fact-check/stallone-keep-rocky-turtles/,Did Stallone 'Keep' the Turtles from 'Rocky'?,snopes.com,Snopes.com,en,False,False
You can legally break into a car to rescue a dog if you document it,2019-07-18T00:00:00Z,Social media,https://www.usatoday.com/story/news/factcheck/2021/08/12/fact-check-laws-rescuing-pets-hot-cars-vary-state/5444565001/,Fact check: Laws on rescuing pets from hot cars not as simple as ...,usatoday.com,USA Today,en,False,False
In Hong Kong cats can get a permanent residence card in the country with a lifetime monthly salary for food with lifetime health insurance,2021-08-03T20:35:00Z,facebook.com,https://leadstories.com/hoax-alert/2021/08/fact-check-hong-kong-permanent-pet-identity-card-is-not-a-real-id.html,Fact Check: Hong Kong Permanent Pet Identity Card Is NOT A Real ID,leadstories.com,Lead Stories,en,Novelty Card,Novelty Card
A microchip reader for pets detected a chip in the arm of a woman vaccinated against COVID-19.,2021-06-15T00:00:00Z,Viral video,https://www.factcheck.org/2021/07/scicheck-spoof-video-furthers-microchip-conspiracy-theory/,Spoof Video Furthers Microchip Conspiracy Theory,factcheck.org,FactCheck.org,en,False,False
Pet Finder Can Tell If You've Been Vaccinated for COVID-19,2021-07-01T01:45:39Z,i.imgur.com,https://leadstories.com/hoax-alert/2021/06/fact-check-video-does-not-prove-a-pet-microchip-reader-found-chip-in-vaccinated-woman.html,Fact Check: Video Does NOT Prove A Microchip Reader Used For ...,leadstories.com,Lead Stories,en,Pet Chip,Pet Chip
"In spring 2021, pet shelters saw a spike in the U.S. of people returning animals they adopted during the COVID-19 pandemic.",2021-05-27T14:10:44Z,,https://www.snopes.com/fact-check/pandemic-rescue-pet-returns/,Are US Animal Shelters Seeing Pet Returns After 'Pandemic Puppy ...,snopes.com,Snopes.com,en,False,False
Does Amazon spray chemicals on its shipping boxes that are harmful to pets?,2021-03-08T21:39:32Z,Social media users,https://repustar.com/fact-briefs/does-amazon-spray-chemicals-on-its-shipping-boxes-that-are-harmful-to-pets,Fact Brief: Does Amazon spray chemicals on its shipping boxes that are harmful to pets?,repustar.com,Repustar,en,NO,NO
Screenshot shows tweet telling dog owners not to use gendered language,2021-03-06T00:00:00Z,Multiple Sources,https://factcheck.afp.com/transgender-dogs-tweet-sparks-outrage-online,,factcheck.afp.com,AFP Fact Check,en,False,False
Hawks are out in force; pets 12 pounds and under are in 'real danger',2021-03-14T00:00:00Z,Social media users,https://www.usatoday.com/story/news/factcheck/2021/03/23/fact-check-warning-falsely-claims-hawks-can-carry-small-pets/4765475001/,Fact check: Fake warning falsely claims hawks can carry away small pets,usatoday.com,USA Today,en,False,False
"Seresto flea and tick collars caused 1,698 pet deaths in the United States.",2021-03-08T15:58:22Z,,https://www.snopes.com/fact-check/seresto-flea-collars-deaths/,Did Seresto Flea Collars Cause 1698 Dog and Cat Deaths?,snopes.com,Snopes,en,Unproven,Unproven
Rangers and Vets are warning that Hawks may grab pets under twelve pounds,2021-03-19T00:50:53Z,facebook.com,https://leadstories.com/hoax-alert/2021/03/fact-check-hawks-can-not-carry-a-twelve-pound-pet.html,Fact Check: Hawks CANNOT Carry A 12-Pound Pet,leadstories.com,Lead Stories,en,Can Not Lift,Can Not Lift
Amazon boxes are sprayed with a chemical that is harmful to pets,2020-12-30T19:41:55Z,facebook.com,https://leadstories.com/hoax-alert/2020/12/fact-check-amazon-does-not-spray-chemicals-on-cardboard-shipping-boxes.html,Fact Check: Amazon Does NOT Spray Chemicals On Cardboard Shipping Boxes -- Claims It Killed Pet Rats And Cats Unconfirmed,leadstories.com,Lead Stories,en,Not Sprayed,Not Sprayed
Walking your pet dog may raise your risk of catching coronavirus by 78 per cent.,2020-09-22T00:00:00Z,University of Granada,https://fullfact.org/health/dog-risk-coronavirus/,Research suggesting increased Covid-19 risk for dog-owners may be barking up the wrong tree - Full Fact,fullfact.org,Full Fact,en,"This is based on research which has many flaws. In particular, suggestions this is down to dogs acting as a Covid-19 vector are based on limited evidence.","This is based on research which has many flaws. In particular, suggestions this is down to dogs acting as a Covid-19 vector are based on limited evidence."
"500,000 ballots in Virginia and 200,000 ballots in Nevada were sent to dead people, pets",2020-08-10T00:00:00Z,Social media users,https://www.usatoday.com/story/news/factcheck/2020/09/28/fact-check-nevada-virginia-ballots-werent-sent-dead-people-pets/5779303002/,"Fact check: Thousands of ballots were not sent to dead people or pets in Nevada, Virginia",usatoday.com,USA Today,en,False,False
"More than 500,000 mail in ballots in Virginia and 200,000 in Nevada were sent to dead people or pets",2020-08-10T00:00:00Z,Facebook,https://www.politifact.com/factchecks/2020/sep/09/facebook-posts/post-wrongly-says-thousands-ballots-sent-dead-peop/,"Post wrongly says thousands of ballots sent to dead people, pets in Virginia and Nevada",politifact.com,PolitiFact,en,False,False
"Alexandria Ocasio-Cortez said, ""If food runs scarce, it's okay to eat pets.""",2020-04-20T00:00:00Z,Viral Post,http://checkyourfact.com/2020/07/31/fact-check-alexandria-ocasio-cortez-food-scarce-eat-pets/,"FACT CHECK: Did Alexandria Ocasio-Cortez Say, ‘If Food Runs Scarce, It’s Okay To Eat Pets’?",checkyourfact.com,Check Your Fact,en,False,False
"Rep. Alexandria Ocasio-Cortez says, ""If food runs scarce, it's okay to eat pets""",2020-06-19T19:44:00Z,dailyworldupdate.us,https://leadstories.com/hoax-alert/2020/06/fact-check-aoc-did-not-say-if-food-runs-scarce-its-okay-to-eat-pets.html,"Fact Check: Rep. Alexandria Ocasio-Cortez Did NOT Say 'If Food Runs Scarce, It's Okay To Eat Pets'",leadstories.com,Lead Stories,en,Satire,Satire
Victorian CHO Brett Sutton said Covid-19 vaccines make the flu worse,2022-10-05T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.32L8733,Misleading posts distort Australian health official's message about Covid and flu jabs,factcheck.afp.com,AFP Fact Check,en,Misleading,Misleading
"“In COVID hearing, #Pfizer director admits: #vaccine was never tested on preventing transmission. ‘Get vaccinated for others’ was always a lie.”",2022-10-18T00:00:00Z,Rob Roos,https://healthfeedback.org/claimreview/scientific-studies-show-pfizer-biontech-covid-19-vaccine-reduces-transmission-claim-rob-roos-misleading/,Scientific studies show that the Pfizer-BioNTech COVID-19 vaccine reduces transmission; claim by Rob Roos is misleading,healthfeedback.org,Health Feedback,en,Misleading,Misleading
Kaiser admitted that risk of covid-19 infection increases with each shot,2022-10-18T22:37:00Z,i.imgur.com,https://leadstories.com/hoax-alert/2022/10/fact-check-kaiser-did-not-admit-infection-increases-with-each-shot.html,Fact Check: Kaiser Did NOT State Risk Of COVID-19 Infection 'Increases With Each Shot',leadstories.com,Lead Stories,en,Twisted Facts,Twisted Facts
"The mRNA vaccines are disguised as regular vaccines but they don’t hold a portion of a virus because SARS-CoV-2 doesn’t exist, and the vaccines actually destroy your immune system.",2022-10-10T00:00:00Z,Instagram user,https://fullfact.org/health/mrna-vaccines-virus/,,fullfact.org,Full Fact,en,"The mRNA vaccines do work differently to other vaccines. But that doesn’t mean the coronavirus that causes Covid-19 doesn’t exist as many scientists have sequenced its genetic material, we can test people for infection, and the disease has killed people. There’s no evidence these vaccines weaken or destroy immune systems.","The mRNA vaccines do work differently to other vaccines. But that doesn’t mean the coronavirus that causes Covid-19 doesn’t exist as many scientists have sequenced its genetic material, we can test people for infection, and the disease has killed people. There’s no evidence these vaccines weaken or destroy immune systems."
Have more people in Arizona died of fentanyl overdoses than COVID-19 since Biden took office in 2021?,2022-10-13T22:12:38Z,Social media users,https://repustar.com/fact-briefs/have-more-people-in-arizona-died-of-fentanyl-overdoses-than-covid-19-since-biden-took-office-in-2021,Fact Brief: Have more people in Arizona died of fentanyl overdoses than COVID-19 since Biden took office in 2021?,repustar.com,Repustar,en,NO,NO
Covid vaccinated people were forced to seek medical care,2022-10-13T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-9/35998/,Fact check: Were covid vaccinated people forced to seek medical...,thip.media,THIP Media,en,Mostly False,Mostly False
The risks of Covid-19 vaccination outweigh the benefits,2022-09-28T00:00:00Z,Assem Malhotra,https://factcheck.afp.com/doc.afp.com.32L483D,UK cardiologist misleads on Covid-19 vaccine safety,factcheck.afp.com,AFP Fact Check,en,False,False
Covid vaccines are a weapon of mass destruction,2022-10-13T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-8/35933/,Fact Check: Are covid vaccines a weapon of mass destruction? –...,thip.media,THIP Media,en,False,False
Covid vaccines can cause Stevens Johnson Syndrome,2022-10-13T18:30:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-2/35934/,Fact Check: Can Covid vaccines cause Stevens Johnson Syndrome? –...,thip.media,THIP Media,en,Mostly False,Mostly False
"Florida study found that COVID-19 mRNA vaccines increase the risk of cardiac-related death, especially in men",2022-10-13T00:00:00Z,Joseph Ladopo,https://healthfeedback.org/claimreview/analysis-florida-department-health-surgeon-general-joseph-ladopo-contains-multiple-methodological-problems-covid-19-mrna-vaccines/,Analysis by Florida Department of Health about COVID-19 mRNA vaccines contains multiple methodological problems,healthfeedback.org,Health Feedback,en,Unsupported,Unsupported
COVID mRNA vaccines are found to cause an 84% increase in death for men ages 18-39.,2022-10-13T19:31:00Z,thepostmillennial.com,https://leadstories.com/hoax-alert/2022/10/fact-check-covid-mrna-vaccine-not-found-to-cause-84-percent-increase-in-death-for-men-ages.html,Fact Check: COVID MRNA Vaccine NOT Found To Cause 84% Increase In Death For Men Ages 18-39,leadstories.com,Lead Stories,en,Shoddy Numbers,Shoddy Numbers
"Florida surgeon general recommends men ages 18 to 39 not get an mRNA COVID-19 vaccine, based on an analysis that found “an 84% increase in the relative incidence of cardiac-related death ... within 28 days following mRNA vaccination.”",2022-10-07T00:00:00Z,Florida Department of Health,https://www.factcheck.org/2022/10/scicheck-floridas-covid-19-vaccination-analysis-is-flawed-experts-say/,"Florida’s COVID-19 Vaccination Analysis Is Flawed, Experts Say",factcheck.org,FactCheck.org,en,Analysis Is Flawed,Analysis Is Flawed
Covid-19 vaccines alter DNA and make people unhuman,2022-10-10T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.32L73RC,Video falsely claims vaccinated individuals are no longer human,factcheck.afp.com,AFP Fact Check,en,False,False
Pfizer director Janine Small admits that Covid-19 vaccine was never tested on preventing transmission of the virus,2022-10-13T01:00:00Z,twitter.com,https://leadstories.com/hoax-alert/2022/10/fact-check-pfizer-covid19-vaccine-clinical-trial-not-intended-to-test-effect-on-transmission.html,Fact Check: Pfizer Vaccine Clinical Trial NOT Intended To Test Transmission Prevention -- That's Not How Clinical Trials Work,leadstories.com,Lead Stories,en,Studied Later,Studied Later
"A ""massive study"" of v-safe data collected by the CDC prove that the COVID-19 vaccine caused a ""stunning amount"" of severe side effects",2022-10-12T00:27:00Z,blob:imgur.com,https://leadstories.com/hoax-alert/2022/10/fact-check-vsafe-cdc-data-does-not-prove-severe-covid-vaccine-side-effects.html,Fact Check: V-Safe CDC Data Does NOT Prove 'Stunning Amount' Of 'Severe' COVID-19 Vaccine Side Effects,leadstories.com,Lead Stories,en,Lacks Context,Lacks Context
Covid vaccinated people are no longer humans,2022-10-10T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-are-covid-vaccinated-people-no-longer-humans/35893/,Fact check: Are covid vaccinated people no longer humans?,thip.media,THIP Media,en,False,False
The Moderna booster vaccine protects you against both Covid-19 and flu.,2022-10-09T00:00:00Z,Nadhim Zahawi,https://fullfact.org/health/nadhim-zahawi-covid-flu-booster/,Nadhim Zahawi wrong to say Moderna booster protects against both Covid-19 and flu - Full Fact,fullfact.org,Full Fact,en,"This is not correct. In order to be protected against both Covid-19 and flu, people must have two different vaccines: a Covid-19 vaccine and a flu vaccine.","This is not correct. In order to be protected against both Covid-19 and flu, people must have two different vaccines: a Covid-19 vaccine and a flu vaccine."
Jay Z and Kanye West predicted covid 19,2022-10-09T18:30:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-7/35894/,Fact check: Did Jay Z and Kanye West predict covid 19?,thip.media,THIP Media,en,False,False
