claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
‘NDTV’ report of Omicron virus spread from poultry,2022-01-22T00:00:00Z,SOCIAL MEDIA POST,https://factly.in/this-ndtv-news-screenshot-reporting-the-omicron-virus-spread-from-poultry-chickens-is-a-morphed-image/,This ‘NDTV’ news screenshot reporting Omicron spread from poultry ...,factly.in,FACTLY,en,FALSE,FALSE
The common cold and the Omicron and Delta variants of COVID-19 can be determined through the symptoms experienced by patients.,2022-01-10T00:00:00Z,Willie Ong,https://verafiles.org/articles/vera-files-fact-check-dr-willie-ong-shares-symptoms-colds-an,"FACT CHECK: Dr. Willie Ong shares symptoms of colds and Omicron, Delta variants that need context - VERA Files",verafiles.org,VERA Files,en,Needs context,Needs context
"If you’ve recently been infected with the omicron variant of COVID-19, you are immune to the virus and don’t need to receive the booster shot at all.",2022-01-19T14:05:00Z,,https://www.snopes.com/fact-check/booster-after-infected-omicron/,"Yes, You Still Need a Booster After Being Infected with Omicron",snopes.com,Snopes.com,en,Mostly False,Mostly False
"Daily status of Omicron variant, state-wise.",2022-01-17T06:03:13Z,Press Information Bureau,https://www.factchecker.in/fact-check/data-gap-india-has-an-omicron-wave-with-7000-odd-omicron-cases-798248,"Data Gap: India Has an Omicron Wave with 7,000-odd Omicron cases",factchecker.in,FactChecker.in,en,Misleading,Misleading
Message by Kiran Mazumdar Shaw about Omicron variant.,2022-01-13T12:55:54Z,"Facebook,Social Media",https://www.thequint.com/news/webqoof/omicron-variant-kiran-mazumdar-shaw-notes-fact-check,Viral Message on Omicron Variant Falsely Attributed to Kiran Mazumdar Shaw,thequint.com,The Quint,en,False,False
The latest data from the UKHSA appears to show Covid-19 vaccines do not prevent hospitalisation or death from the disease.,2022-01-08T00:00:00Z,The Expose,https://fullfact.org/health/january-2022-expose-vaccinated-covid/,,fullfact.org,Full Fact,en,"False. No vaccine is 100% effective, but the Covid-19 vaccines are highly effective against hospitalisation and death. The data from the UKHSA cannot be used to estimate vaccine effectiveness.","False. No vaccine is 100% effective, but the Covid-19 vaccines are highly effective against hospitalisation and death. The data from the UKHSA cannot be used to estimate vaccine effectiveness."
Dr Zarir Udwadia or Dr Sushil Razdan recommend dry ginger for COVID cure,2016-06-20T00:00:00Z,"Kashmir Xpress News, Social Media",https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/,Misleading video claiming dry ginger can cure Omicron is ...,altnews.in,Alt News,en,False,False
Dr. Anthony Fauci's sister published a book about the omicron coronavirus variant,2021-12-15T00:00:00Z,Social media users,https://www.usatoday.com/story/news/factcheck/2022/01/12/fact-check-faucis-sister-didnt-publish-omicron-book-amazon/9142915002/,Fact check: Fauci's sister didn't publish omicron book on Amazon,usatoday.com,USA Today,en,False,False
Notes taken during talk by Dr Edward Ryan reveals that Omicron will peak by January 21,2021-12-08T00:00:00Z,Viral social media post,https://newschecker.in/fact-check/viral/viral-message-on-omicron-attributed-to-kiran-mazumdar-shaw-widely-shared-out-of-context/,Viral Message On Omicron Attributed To Kiran Mazumdar Shaw ...,newschecker.in,Newschecker,en,False,False
"Since Omicron was first detected on 27 November there have been seven deaths from it, with an average age of 83.",2021-12-23T00:00:00Z,Twitter user,https://fullfact.org/online/suicide-omicron/,,fullfact.org,Full Fact,en,There were 7 deaths in England from the Omicron variant up to 16 December 2021. The average age of Covid-19 deaths in general is 83—we don’t know what it was for these Omicron deaths.,There were 7 deaths in England from the Omicron variant up to 16 December 2021. The average age of Covid-19 deaths in general is 83—we don’t know what it was for these Omicron deaths.
