claim,date,source,url,title,reviewer,reviewer_name,language,raw_verdict,raw_verdict_en
COVID mRNA vaccines are found to cause an 84% increase in death for men ages 18-39.,2022-10-13T19:31:00Z,thepostmillennial.com,https://leadstories.com/hoax-alert/2022/10/fact-check-covid-mrna-vaccine-not-found-to-cause-84-percent-increase-in-death-for-men-ages.html,Fact Check: COVID MRNA Vaccine NOT Found To Cause 84% Increase In Death For Men Ages 18-39,leadstories.com,Lead Stories,en,Shoddy Numbers,Shoddy Numbers
"Florida surgeon general recommends men ages 18 to 39 not get an mRNA COVID-19 vaccine, based on an analysis that found “an 84% increase in the relative incidence of cardiac-related death ... within 28 days following mRNA vaccination.”",2022-10-07T00:00:00Z,Florida Department of Health,https://www.factcheck.org/2022/10/scicheck-floridas-covid-19-vaccination-analysis-is-flawed-experts-say/,"Florida’s COVID-19 Vaccination Analysis Is Flawed, Experts Say",factcheck.org,FactCheck.org,en,Analysis Is Flawed,Analysis Is Flawed
Covid-19 vaccines alter DNA and make people unhuman,2022-10-10T00:00:00Z,Multiple people,https://factcheck.afp.com/doc.afp.com.32L73RC,Video falsely claims vaccinated individuals are no longer human,factcheck.afp.com,AFP Fact Check,en,False,False
Pfizer director Janine Small admits that Covid-19 vaccine was never tested on preventing transmission of the virus,2022-10-13T01:00:00Z,twitter.com,https://leadstories.com/hoax-alert/2022/10/fact-check-pfizer-covid19-vaccine-clinical-trial-not-intended-to-test-effect-on-transmission.html,Fact Check: Pfizer Vaccine Clinical Trial NOT Intended To Test Transmission Prevention -- That's Not How Clinical Trials Work,leadstories.com,Lead Stories,en,Studied Later,Studied Later
"A ""massive study"" of v-safe data collected by the CDC prove that the COVID-19 vaccine caused a ""stunning amount"" of severe side effects",2022-10-12T00:27:00Z,blob:imgur.com,https://leadstories.com/hoax-alert/2022/10/fact-check-vsafe-cdc-data-does-not-prove-severe-covid-vaccine-side-effects.html,Fact Check: V-Safe CDC Data Does NOT Prove 'Stunning Amount' Of 'Severe' COVID-19 Vaccine Side Effects,leadstories.com,Lead Stories,en,Lacks Context,Lacks Context
Covid vaccinated people are no longer humans,2022-10-10T18:30:00Z,Website,https://www.thip.media/health-news-fact-check/fact-check-are-covid-vaccinated-people-no-longer-humans/35893/,Fact check: Are covid vaccinated people no longer humans?,thip.media,THIP Media,en,False,False
The Moderna booster vaccine protects you against both Covid-19 and flu.,2022-10-09T00:00:00Z,Nadhim Zahawi,https://fullfact.org/health/nadhim-zahawi-covid-flu-booster/,Nadhim Zahawi wrong to say Moderna booster protects against both Covid-19 and flu - Full Fact,fullfact.org,Full Fact,en,"This is not correct. In order to be protected against both Covid-19 and flu, people must have two different vaccines: a Covid-19 vaccine and a flu vaccine.","This is not correct. In order to be protected against both Covid-19 and flu, people must have two different vaccines: a Covid-19 vaccine and a flu vaccine."
Jay Z and Kanye West predicted covid 19,2022-10-09T18:30:00Z,Social media user,https://www.thip.media/health-news-fact-check/fact-check-7/35894/,Fact check: Did Jay Z and Kanye West predict covid 19?,thip.media,THIP Media,en,False,False
COVID-19 vaccines were “rushed into market”; VAERS shows an “unusual spike in vaccine adverse events”; unvaccinated people aren't a threat to vaccinated people,2022-10-04T00:00:00Z,Charlie Kirk,https://healthfeedback.org/claimreview/charlie-kirk-video-listing-reasons-to-oppose-covid-19-vaccines-contains-multiple-incorrect-misleading-unsupported-statements/,"Charlie Kirk’s video listing reasons to oppose COVID-19 vaccines contains multiple incorrect, misleading, and unsupported statements",healthfeedback.org,Health Feedback,en,Misleading,Misleading
The Pfizer COVID-19 vaccine causes an 'Astonishing Drop in Male Fertility.',2022-10-07T22:52:00Z,expose-news.com,https://leadstories.com/hoax-alert/2022/10/fact-check-pfizers-covid-vaccine-does-not-cause-astonishing-drop-in-male-fertility.html,Fact Check: Pfizer's COVID Vaccine Does NOT Cause 'Astonishing Drop In Male Fertility' -- Sperm Count Dip Is Temporary,leadstories.com,Lead Stories,en,Brief Drop,Brief Drop
Pfizer's Omicron jab only assessed with data from eight mice,2022-02-09T00:00:00Z,Multiple sources,https://factcheck.afp.com/doc.afp.com.32K34TY,Posts misrepresent approval process for Pfizer's Omicron jab: experts,factcheck.afp.com,AFP Fact Check,en,Missing context,Missing context
"Covid variant, Omicron, means non-existing",2022-08-29T00:00:00Z,Social Media user,https://www.thip.media/health-news-fact-check/fact-check-does-the-covid-variant-omicron-mean-non-existing/34466/,"Fact Check: Does the Covid variant, Omicron, mean non-existing? –...",thip.media,THIP Media,en,False,False
Omicron BA.5 the most infectious virus ever known,2022-07-18T00:00:00Z,Social Media user,https://www.thip.media/health-news-fact-check/fact-check-is-omicron-ba-5-the-most-infectious-virus-ever-known/32221/,Fact Check: Is Omicron BA.5 the most infectious virus ever known?...,thip.media,THIP Media,en,False,False
"COVID-19 infection caused by the Omicron variant is ""like having the flu.""",2022-07-05T00:00:00Z,Ferdinand “Bongbong” Marcos Jr.,https://verafiles.org/articles/vera-files-fact-check-marcos-jr-s-statement-that-getting-covid-19-is-like-having-flu-needs-context,FACT CHECK: Marcos Jr.’s statement that getting COVID-19 is ‘like having flu’ needs context,verafiles.org,VERA Files,en,Needs context,Needs context
"""New Data from Walgreens Reveals Unvaccinated Have the Lowest Positivity Rate for COVID. ... Obviously, the vaccines are not working as advertised.""",2022-06-09T00:00:00Z,Gateway Pundit,https://www.factcheck.org/2022/06/scicheck-vaccinated-people-not-more-susceptible-to-covid-19-than-unvaccinated/,Vaccinated People Not More Susceptible to COVID-19 Than ...,factcheck.org,FactCheck.org,en,Misleading,Misleading
"""But what we do know as well is that the Omicron variant is 75 per cent less severe than the Delta variant and previous variants.""",2022-01-31T00:00:00Z,Josh Frydenberg,https://www.abc.net.au/news/2022-03-10/fact-check-omicron-75-per-cent-less-severe/100892732,Is Omicron really 75 per cent less severe than Delta and other COVID variants?,abc.net.au,ABC,en,Oversimplified,Oversimplified
"If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron.",2022-01-10T00:00:00Z,Michael McBride,https://factcheckni.org/topics/health/is-there-a-50-chance-of-hospitalisation-with-omicron-if-you-dont-get-a-covid-19-booster-jab/,Is there a 50% chance of hospitalisation with Omicron if you don't get ...,factcheckni.org,Fact Check NI,en,"CLAIM: If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron. CONCLUSION: INACCURATE (“Accurate” in a previous version of this article - see note below) based on a misinterpretation of data. Data published by the UK Health Security Agency at the time of the claim suggested that with two doses, vaccine effectiveness against hospitalisation due to Omicron was 52%. However, vaccine effectiveness against hospitalisation is not a measure of hospitalisation rates, it is a measure of how much vaccination reduces the chance that someone will need hospital, compared with having taken no vaccine at all. The data at the time said that, if you’ve had two vaccine doses but no booster, you would be 52% less likely to require hospital due to Omicron compared with if you caught that variant and were unvaccinated.","CLAIM: If you’ve had two doses of the COVID-19 vaccine and you haven’t had a booster jab, then you have a 50/50 chance of ending up in hospital if you catch Omicron. CONCLUSION: INACCURATE (“Accurate” in a previous version of this article - see note below) based on a misinterpretation of data. Data published by the UK Health Security Agency at the time of the claim suggested that with two doses, vaccine effectiveness against hospitalisation due to Omicron was 52%. However, vaccine effectiveness against hospitalisation is not a measure of hospitalisation rates, it is a measure of how much vaccination reduces the chance that someone will need hospital, compared with having taken no vaccine at all. The data at the time said that, if you’ve had two vaccine doses but no booster, you would be 52% less likely to require hospital due to Omicron compared with if you caught that variant and were unvaccinated."
Philippine health department issues 'Omicron Alert' graphic,2022-01-17T00:00:00Z,Multiple sources,https://factcheck.afp.com/doc.afp.com.9XF7XC,,factcheck.afp.com,AFP Fact Check,en,Misleading,Misleading
Ivermectin was effective against omicron in phase 3 clinical trials.,2022-01-31T00:00:00Z,Social media posts,https://www.factcheck.org/2022/02/scicheck-social-media-posts-repeat-inaccurate-reporting-on-ivermectin-and-omicron/,Social Media Posts Repeat Inaccurate Reporting on Ivermectin and Omicron,factcheck.org,FactCheck.org,en,False,False
Phase 3 trial shows that Ivermectin is effective against Omicron,2022-02-02T00:00:00Z,Social media users,https://healthfeedback.org/claimreview/claims-that-a-phase-iii-clinical-trial-showed-that-ivermectin-is-effective-against-omicron-are-inaccurate-and-based-on-a-now-corrected-reuters-article/,Claims that a phase 3 clinical trial showed that ivermectin is effective ...,healthfeedback.org,Health Feedback,en,Inaccurate,Inaccurate
‘NDTV’ report of Omicron virus spread from poultry,2022-01-22T00:00:00Z,SOCIAL MEDIA POST,https://factly.in/this-ndtv-news-screenshot-reporting-the-omicron-virus-spread-from-poultry-chickens-is-a-morphed-image/,This ‘NDTV’ news screenshot reporting Omicron spread from poultry ...,factly.in,FACTLY,en,FALSE,FALSE
The common cold and the Omicron and Delta variants of COVID-19 can be determined through the symptoms experienced by patients.,2022-01-10T00:00:00Z,Willie Ong,https://verafiles.org/articles/vera-files-fact-check-dr-willie-ong-shares-symptoms-colds-an,"FACT CHECK: Dr. Willie Ong shares symptoms of colds and Omicron, Delta variants that need context - VERA Files",verafiles.org,VERA Files,en,Needs context,Needs context
"If you’ve recently been infected with the omicron variant of COVID-19, you are immune to the virus and don’t need to receive the booster shot at all.",2022-01-19T14:05:00Z,,https://www.snopes.com/fact-check/booster-after-infected-omicron/,"Yes, You Still Need a Booster After Being Infected with Omicron",snopes.com,Snopes.com,en,Mostly False,Mostly False
"Daily status of Omicron variant, state-wise.",2022-01-17T06:03:13Z,Press Information Bureau,https://www.factchecker.in/fact-check/data-gap-india-has-an-omicron-wave-with-7000-odd-omicron-cases-798248,"Data Gap: India Has an Omicron Wave with 7,000-odd Omicron cases",factchecker.in,FactChecker.in,en,Misleading,Misleading
Message by Kiran Mazumdar Shaw about Omicron variant.,2022-01-13T12:55:54Z,"Facebook,Social Media",https://www.thequint.com/news/webqoof/omicron-variant-kiran-mazumdar-shaw-notes-fact-check,Viral Message on Omicron Variant Falsely Attributed to Kiran Mazumdar Shaw,thequint.com,The Quint,en,False,False
The latest data from the UKHSA appears to show Covid-19 vaccines do not prevent hospitalisation or death from the disease.,2022-01-08T00:00:00Z,The Expose,https://fullfact.org/health/january-2022-expose-vaccinated-covid/,,fullfact.org,Full Fact,en,"False. No vaccine is 100% effective, but the Covid-19 vaccines are highly effective against hospitalisation and death. The data from the UKHSA cannot be used to estimate vaccine effectiveness.","False. No vaccine is 100% effective, but the Covid-19 vaccines are highly effective against hospitalisation and death. The data from the UKHSA cannot be used to estimate vaccine effectiveness."
Dr Zarir Udwadia or Dr Sushil Razdan recommend dry ginger for COVID cure,2016-06-20T00:00:00Z,"Kashmir Xpress News, Social Media",https://www.altnews.in/misleading-video-claiming-dry-ginger-can-cure-omicron-is-scientifically-baseless/,Misleading video claiming dry ginger can cure Omicron is ...,altnews.in,Alt News,en,False,False
Dr. Anthony Fauci's sister published a book about the omicron coronavirus variant,2021-12-15T00:00:00Z,Social media users,https://www.usatoday.com/story/news/factcheck/2022/01/12/fact-check-faucis-sister-didnt-publish-omicron-book-amazon/9142915002/,Fact check: Fauci's sister didn't publish omicron book on Amazon,usatoday.com,USA Today,en,False,False
Notes taken during talk by Dr Edward Ryan reveals that Omicron will peak by January 21,2021-12-08T00:00:00Z,Viral social media post,https://newschecker.in/fact-check/viral/viral-message-on-omicron-attributed-to-kiran-mazumdar-shaw-widely-shared-out-of-context/,Viral Message On Omicron Attributed To Kiran Mazumdar Shaw ...,newschecker.in,Newschecker,en,False,False
"By the end of January 2022, all vaccinated Germans will have AIDS and be 100% more vulnerable to Covid infections.",2022-01-03T00:00:00Z,The Expose,https://fullfact.org/health/germany-covid-omicron-aids-expose-false/,,fullfact.org,Full Fact,en,"The figures this article is based on have since been corrected. There is no evidence that vaccines cause AIDS, that declining efficacy from a Covid vaccine would cause AIDS or that being vaccinated reduces your protection against Covid.","The figures this article is based on have since been corrected. There is no evidence that vaccines cause AIDS, that declining efficacy from a Covid vaccine would cause AIDS or that being vaccinated reduces your protection against Covid."
